county,price,lat,long
Alameda,1312500,-122.0049610020791,37.66112899946298
Contra Costa,1015000,-121.95091100245604,38.00061800143987
Marin,1632500,-122.86958900340855,38.021402997701514
Napa,837500,-122.40972800030378,38.5682539975804
San Francisco,1900000,-122.4773840027518,37.7500009985324
San Mateo,2075000,-122.30248400097321,37.508132000222115
Santa Clara,1675000,-122.02427200387235,37.26093899922742
Solano,579000,-122.01052900085348,38.29289899771702
Sonoma,780000,-123.23353500042725,38.66840800052918
